Date,Open,High,Low,Close,Adj Close,Volume,Day 
2023-01-20,64.029999,65.25,63.349998,65.169998,64.450615,4960100,81
2023-01-23,65.739998,67.519997,65.580002,67.150002,66.40876,4716000,82
2023-01-24,66.699997,67.269997,66.309998,66.339996,65.607697,4267900,83
2023-01-25,65.510002,67.019997,65.129997,66.910004,66.17141,5065600,84
2023-01-26,67.760002,68.529999,66.809998,67.57,66.824135,3982600,85
2023-01-27,67.519997,69.089996,67.43,68.779999,68.020767,3689200,86
2023-01-30,68.120003,69.25,67.989998,68.25,67.496613,3603700,87
2023-01-31,68.660004,70.199997,68.519997,70.190002,69.415207,4899800,88
2023-02-01,69.980003,72.989998,69.550003,72.290001,71.492027,7529900,89
2023-02-02,73.809998,75.769997,73.25,74.470001,73.647964,9696900,90
2023-02-03,73.379997,75.07,73.139999,73.559998,72.748001,5606900,91
2023-02-06,72.769997,73.290001,71.800003,72.120003,71.323898,3533900,92
2023-02-07,71.669998,72.040001,70.190002,71.790001,70.997543,6479000,93
2023-02-08,71.209999,71.82,70.449997,70.809998,70.028366,4878300,94
2023-02-09,71.879997,72.150002,69.410004,69.510002,68.742706,5104100,95
2023-02-10,68.919998,69.43,68.470001,68.860001,68.099884,4622400,96
2023-02-13,69.010002,70.5,68.290001,70.459999,69.68222,4656200,97
2023-02-14,70.089996,70.970001,69.199997,70.32,69.543762,6127100,98
2023-02-15,69.760002,72.160004,69.580002,72.099998,71.304115,5960400,99
2023-02-16,70.970001,72.309998,70.580002,70.970001,70.186592,6197800,100
2023-02-17,70.849998,71.309998,70.290001,71.230003,70.443733,5347500,101
2023-02-21,70.07,70.470001,67.709999,67.720001,66.972473,7049400,102
2023-02-22,67.910004,69.040001,67.790001,68.230003,67.476845,5741300,103
2023-02-23,68.07,68.160004,66.550003,67.739998,66.992241,6775600,104
2023-02-24,66.489998,66.730003,65.860001,66.449997,65.716492,7389700,105
2023-02-27,67.239998,67.309998,66.269997,66.510002,65.775833,7861000,106
2023-02-28,66.459999,67.470001,66.449997,66.449997,65.716492,5899400,107
2023-03-01,65.800003,66.169998,64.980003,65.32,64.598961,7824300,108
2023-03-02,65.169998,66.220001,64.980003,66.029999,65.301117,4580100,109
2023-03-03,66.540001,67.07,65.940002,67,66.260414,3567700,110
2023-03-06,67.050003,67.260002,65.349998,65.550003,64.826431,4590500,111
2023-03-07,65.889999,66.589996,65.540001,65.650002,64.925323,5777800,112
2023-03-08,65.690002,65.720001,64.900002,65.599998,64.87587,9219100,113
2023-03-09,65.389999,65.839996,64.279999,64.400002,63.689117,11115000,114
2023-03-10,63.889999,64.129997,62.450001,62.93,62.235344,14074900,115
2023-03-13,61.669998,62.57,60.93,61.470001,60.791462,11331600,116
2023-03-14,62.869999,63.130001,60.950001,61.560001,60.88047,9266100,117
2023-03-15,60.279999,61.400002,59.970001,61.32,60.64312,10359400,118
2023-03-16,60.98,62.310001,60.43,61.98,61.29583,9514100,119
2023-03-17,61.540001,61.540001,60.259998,60.599998,59.931065,6322100,120
2023-03-20,60.93,61.77,60.139999,60.610001,60.144417,11128400,121
2023-03-21,61.549999,62.52,61.52,61.740002,61.265736,6061600,122
2023-03-22,62.560001,62.669998,60.59,60.66,60.194031,7333200,123
2023-03-23,61,61.459999,59.259998,59.939999,59.479561,9962600,124
2023-03-24,59.599998,60.380001,58.970001,60.209999,59.747486,7889000,125
2023-03-27,60.830002,60.959999,59.790001,60.41,59.94595,6091800,126
2023-03-28,60.470001,61.57,60.470001,60.939999,60.471878,6857500,127
2023-03-29,61.529999,61.529999,60.41,61.209999,60.739807,4299700,128
2023-03-30,62.009998,62.709999,61.59,61.790001,61.31535,7545800,129
2023-03-31,62.299999,63.470001,62.130001,63.419998,62.932827,5499900,130
2023-04-03,63.57,63.959999,62.959999,63.799999,63.30991,5365800,131
2023-04-04,64.110001,64.230003,62.759998,62.959999,62.47636,4640000,132
2023-04-05,62.75,62.75,61.279999,61.619999,61.146652,6221100,133
2023-04-06,61.380001,61.900002,60.82,61.509998,61.037502,5192300,134
2023-04-10,61.27,62.68,61.27,62.619999,62.138973,5047100,135
2023-04-11,63.23,64.010002,63.07,63.66,63.170986,6669100,136
2023-04-12,64.120003,64.379997,61.880001,62.009998,61.533657,7616500,137
2023-04-13,62.200001,62.599998,61.810001,62.189999,61.712276,5644600,138
2023-04-14,62.59,63.57,61.799999,62.23,61.751968,7556100,139
2023-04-17,62.529999,62.889999,61.990002,62.5,62.019897,3942300,140
2023-04-18,62.720001,63.02,62.25,62.52,62.039742,3901500,141
2023-04-19,62.009998,62.599998,61.700001,62.439999,61.960358,3303800,142
2023-04-20,61.98,62.919998,61.880001,62.189999,61.712276,3946200,143
2023-04-21,62.299999,62.41,61.84,62.25,61.771816,4214800,144
